ID,RA,DEC,g_auto,e_g_auto,r_auto,e_r_auto,radius,ab_ratio,i_auto,e_i_auto,PROB_GAL,zml,s2n_DET_auto
DR4_3_SPLUS-s21s31_0020743,331.4332175512018,-27.116659096524007,12.930486679077148,0.0726112350821495,12.576929092407227,0.13204489648342133,0.001378194778226316,1.1387447118759155,12.502775192260742,0.19609279930591583,1.0,-0.003583333222195506,564.3875122070312
DR4_3_SPLUS-s21s31_0020744,330.9824093544382,-27.081657131198572,18.274343490600586,0.026940234005451202,17.4424991607666,0.014411610551178455,0.000555659644305706,1.328859567642212,17.080236434936523,0.015281220898032188,1.0,0.08900000154972076,109.27813720703125
DR4_3_SPLUS-s21s31_0023662,330.5488251728881,-27.017638985495005,17.882469177246094,0.02576305903494358,17.03968620300293,0.01362665370106697,0.0007197142695076764,1.1748502254486084,16.574235916137695,0.013448960147798061,1.0,0.09133332967758179,119.81491088867188
DR4_3_SPLUS-s21s31_0025388,331.7632205270723,-26.970853490471644,17.57880973815918,0.01981857605278492,16.667192459106445,0.01000342145562172,0.0006880023865960538,1.048087239265442,16.27836036682129,0.01014487911015749,1.0,0.0793333351612091,157.52108764648438
DR4_3_SPLUS-s21s31_0025720,331.9763183913294,-26.963735950070994,16.60969352722168,0.01323371846228838,15.822149276733398,0.007427775766700506,0.0011549919145181775,1.1088515520095825,15.431796073913574,0.007521154824644327,1.0,0.07433333247900009,217.3348388671875
DR4_3_SPLUS-s21s31_0025783,331.88969038112646,-26.963040645276664,17.340696334838867,0.018067607656121254,16.490999221801758,0.009628639556467533,0.0008003610419109464,1.1681833267211914,16.046525955200195,0.0093001127243042,1.0,0.07500000298023224,168.83766174316406
DR4_3_SPLUS-s21s31_0025804,331.6560698057539,-26.954872875469995,17.778684616088867,0.017191961407661438,16.9466495513916,0.009387175552546978,0.0006551624392159283,1.7187403440475464,16.536008834838867,0.009224084205925465,1.0,0.0872500017285347,173.50003051757812
DR4_3_SPLUS-s21s31_0025903,331.89331756866,-26.962776842986806,17.13857650756836,0.01489489246159792,16.288068771362305,0.00798206776380539,0.0010602291440591216,2.1191205978393555,15.846322059631348,0.007677785586565733,1.0,0.07666666805744171,204.31910705566406
DR4_3_SPLUS-s21s31_0026027,330.972305128412,-26.945930322306328,18.745512008666992,0.04147714376449585,18.122568130493164,0.026434799656271935,0.0005773568409495056,1.6354990005493164,17.872760772705078,0.03123333863914013,1.0,0.0455833338201046,57.08847427368164
DR4_3_SPLUS-s21s31_0026217,331.90843263872887,-26.96414701005986,16.025596618652344,0.01478085108101368,15.104269981384277,0.0072944494895637035,0.001754879835061729,1.1419909000396729,14.678462028503418,0.007260446436703205,1.0,0.07983333617448807,209.1735382080078
