,recno,HIPASS,RAJ2000,DEJ2000,TType,Dist,r_Dist,OMatch,VelHI,Spk,Sint,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,f_W3mag,e_W3mag,W4mag,e_W4mag,f_W4mag,R1iso,R2iso,R3iso,R4iso,ba,PA,W1-W2,e_W1-W2,W2-W3,e_W2-W3,W1-W2c,W2-W3c,logLW1,e_logLW1,logLW2,e_logLW2,logLW3,e_logLW3,logLW4,e_logLW4,logLW1in,e_logLW1in,W1flux,W2flux,w3PaH,w4dust,logM*,e_logM*,logMHI,e_logMHI,logSFR,e_logSFR,logSFE,e_logSFE,T16
2446,2117,J1351-33,207.83113,-33.8079,8.3,23.72,1,1,1391.2,0.4918,62.9,11.47,0.01,11.68,0.04,14.2,0.0,0.63,,,,84.48,,,,0.6,163.5,-0.22,0.03,-2.14,0.63,-0.22,,8.091,0.01,7.605,0.017,,,,,9.45,0.01,7.85,3.52,,,9.41,0.13,9.92,0.03,,,,,0
2447,2145,J1401-33,210.34093,-33.0625,7.0,21.16,1,1,1219.7,0.2247,21.9,9.77,0.01,9.74,0.02,6.41,10.0,0.03,3.67,0.03,10.0,101.89,101.89,101.89,101.89,0.642,178.4,0.03,0.02,3.06,0.02,0.03,3.15,8.669,0.01,8.284,0.012,8.33,0.02,8.7,0.02,10.03,0.01,37.33,21.13,59.64,270.31,9.78,0.1,9.36,0.05,-0.45,0.06,-9.81,0.07,0
2448,2129,J1354-32,208.53119,-32.90068,3.0,67.53,1,1,4401.9,0.0487,4.1,12.83,0.02,12.67,0.04,9.78,10.0,0.18,9.44,0.46,0.0,37.76,,,,0.646,169.3,0.16,0.04,1.44,0.12,0.15,2.9,8.439,0.011,8.104,0.019,8.05,0.07,,,9.8,0.01,2.16,1.37,3.04,,9.24,0.14,9.64,0.11,-0.67,0.08,-10.31,0.14,0
2449,2116,J1351-31,207.83197,-31.14767,4.0,76.65,1,1,5016.8,0.0783,15.9,9.97,0.01,9.91,0.02,6.94,10.0,0.03,5.29,0.05,10.0,72.64,61.79,61.79,61.79,0.512,157.9,0.06,0.02,2.89,0.02,0.05,2.97,9.69,0.01,9.314,0.012,9.28,0.02,9.18,0.02,11.05,0.01,29.85,17.24,40.36,62.13,10.75,0.1,10.34,0.05,0.3,0.07,-10.04,0.09,0
2450,2115,J1351-30,207.78873,-30.77967,3.0,85.89,1,1,5644.4,0.0436,7.7,10.72,0.01,10.56,0.02,6.65,10.0,0.01,4.74,0.03,10.0,42.11,42.11,42.11,42.11,0.998,158.9,0.16,0.02,3.88,0.02,0.17,3.92,9.488,0.01,9.158,0.012,9.54,0.01,9.49,0.02,10.85,0.01,14.93,9.59,58.13,102.49,10.26,0.1,10.12,0.08,0.5,0.08,-9.62,0.11,0
2451,2159,J1406-30,211.76842,-30.01696,10.0,42.53,1,1,2696.2,0.0826,11.4,10.53,0.01,10.41,0.02,7.14,10.0,0.02,4.36,0.03,10.0,57.18,57.18,57.18,57.18,0.652,82.8,0.12,0.02,3.25,0.02,0.12,3.31,8.964,0.01,8.616,0.012,8.74,0.01,9.03,0.01,10.32,0.01,18.24,11.24,37.59,143.64,9.85,0.1,9.68,0.06,-0.13,0.06,-9.81,0.09,0
2452,2144,J1401-30,210.26712,-30.32729,6.0,41.01,1,1,2586.8,0.1623,20.4,10.0,0.01,9.98,0.02,6.62,10.0,0.03,4.8,0.05,10.0,85.84,70.6,70.6,70.6,0.863,93.8,0.03,0.02,3.31,0.02,0.05,3.37,9.14,0.01,8.763,0.012,8.91,0.02,8.82,0.02,10.5,0.01,29.43,16.96,59.39,94.89,10.21,0.1,9.9,0.05,0.0,0.06,-9.9,0.08,0
2453,2134,J1357-29,209.47601,-29.31554,3.0,33.57,0,1,2668.0,0.2057,59.5,7.79,0.01,7.72,0.02,4.66,10.0,0.02,3.02,0.04,10.0,220.08,220.08,220.08,220.08,0.234,17.4,0.08,0.02,2.99,0.02,0.08,3.06,9.857,0.01,9.491,0.012,9.5,0.01,9.33,0.02,11.22,0.01,228.84,135.12,348.58,465.07,10.86,0.1,10.19,0.03,0.47,0.08,-9.73,0.08,1
2454,2083,J1339-31,204.83681,-31.67759,,173.71,1,1,11502.8,0.0573,8.0,10.89,0.01,10.86,0.02,8.2,10.0,0.05,7.25,0.16,0.0,45.54,35.3,35.3,35.3,0.883,173.2,0.03,0.02,2.45,0.03,0.01,2.59,10.007,0.01,9.614,0.012,9.41,0.03,9.03,0.07,11.37,0.01,12.06,6.7,10.43,8.71,11.18,0.1,10.74,0.08,0.39,0.08,-10.34,0.11,0
2455,2104,J1348-30,207.18243,-30.21726,5.0,81.91,1,1,5371.4,0.033,6.2,11.19,0.01,11.04,0.02,7.2,10.0,0.02,5.28,0.03,10.0,41.84,41.84,41.84,41.84,0.558,55.6,0.15,0.02,3.78,0.02,0.16,3.81,9.258,0.01,8.925,0.012,9.26,0.01,9.23,0.02,10.62,0.01,9.68,6.18,33.64,61.63,10.04,0.1,9.98,0.09,0.28,0.07,-9.7,0.11,0
