,recno,HCG,m_HCG,RAB1950,DEB1950,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
113,114,25,f,49.55341666666666,-1.2336944444444442,11.1,9.9,S0,1,m,6279,37,0,16.66,1,18.8,14.96,1,29.2,1.52,17.26,16.98,0.2,-17.1,U2691b
114,115,25,g,49.581666666666656,-1.2428055555555555,8.7,6.2,S0,1,,12179,26,0,17.38,0,13.7,15.6,0,17.8,1.7,17.25,16.93,0.1,,
115,116,26,a,49.892083333333325,-13.829138888888886,32.0,5.8,Scd,8,m,9678,50,0,17.34,1,20.1,15.93,1,27.8,0.75,17.0,16.1,0.7,-18.9,
116,117,26,b,49.89979166666666,-13.826666666666664,19.5,9.6,E0,0,m,9332,39,0,16.74,1,21.1,15.46,1,25.1,1.3,15.88,15.61,0.2,-19.3,
117,118,26,c,49.86812499999999,-13.823916666666666,9.6,4.4,S0,1,,9618,62,0,17.61,0,11.9,16.46,0,13.7,1.1,17.51,17.1,0.1,-17.8,
118,119,26,d,49.89724999999999,-13.823694444444442,5.6,5.0,cI,13,m,9133,62,0,16.94,1,17.3,16.77,1,13.9,0.54,16.08,15.81,0.2,-19.0,
119,120,26,e,49.87474999999999,-13.84308333333333,10.5,3.5,Im,12,m,9623,50,0,18.34,0,11.4,17.57,0,12.9,0.66,17.8,17.05,0.1,-17.9,
120,121,26,f,49.90166666666666,-13.842166666666664,5.4,3.7,cI,13,,9626,46,0,18.93,0,7.3,18.57,0,7.3,0.36,18.95,18.68,0.1,-16.2,
121,122,26,g,49.89179166666666,-13.827027777777776,5.9,5.0,S0,1,,9293,62,0,18.48,1,11.8,17.61,1,11.2,1.03,17.7,17.4,0.7,-17.5,
122,123,27,a,64.27437499999999,-11.853055555555553,15.6,5.9,Sb,5,,18340,62,0,17.01,0,17.5,15.23,0,22.5,1.71,16.77,16.06,0.1,,
123,124,27,b,64.23945833333332,-11.821583333333331,13.8,8.5,SBc,7,,18530,61,0,16.58,0,21.7,15.28,0,23.1,1.29,16.25,15.71,0.1,,
