,HCG,Name,RA,Dec,Vsys,sep_kpc,sep_norm,D25_am,D25_kpc,logMHIobs,logMHIexp,defHI,OPT_HI,zflag,HIflag,MHIlim_flag
30,97,IC 5356,356.84913,-2.35125,6002.5,37.83956117436949,0.14743605262961335,0.6333333333333333,15.659481899838013,8.724650692257832,9.35530412880539,0.6306534365475578,0,1,0,1
31,97,APMUKS(BJ) B234448.09-023753.3,356.84167,-2.3535,6033.0,41.223472188807634,0.16062094344057143,,,8.725213420290045,,,0,1,0,1
32,97,WISEA J234726.59-022111.9,356.86083,-2.35328,6698.0,46.36154572962218,0.18064065977627444,,,8.725213420290045,,,0,1,0,1
33,97,WISEA J234723.26-022147.1,356.84708,-2.36306,5991.0,55.038783708909904,0.21445018810295333,,,8.726897144007422,,,0,1,0,1
34,97,IC 5352,356.83292,-2.28067,6664.5,69.80748162182341,0.2719941567743992,0.4033333333333334,9.972617420423155,8.721826262432831,9.018238772110818,0.29641250967798705,0,1,0,1
35,97,WISEA J234732.41-022229.7,356.885,-2.37481,6879.0,93.04852815096942,0.36254933376095055,,,8.728574365268841,,,0,1,0,1
36,97,[DZ2015] 524,356.942,-2.336,6711.0,143.6782568424912,0.5598203145101249,,,8.737473211753972,,,0,1,0,1
37,97,APMUKS(BJ) B234519.84-023308.2,356.97463,-2.27505,5900.0,205.6676152310134,0.8013523519386327,,,8.737639057187776,,,0,1,0,1
38,97,NSA 152635,356.82301,-2.18619,7348.0,210.08116560505536,0.8185490747608694,,,8.737882124911755,,,0,1,0,1
39,97,WISEA J234659.42-020811.6,356.74763,-2.13644,6459.0,316.48532494435364,1.233136579200129,0.33,8.159414253073491,8.771511327398239,8.86834046987431,0.09682914247607144,0,1,0,1
40,97,2MASX J23464481-0210169,356.68686,-2.17198,6894.0,327.97580346964753,1.2779074682912577,0.535,13.228141289073688,8.780333609539385,9.229264998360858,0.44893138882147277,0,1,0,1
41,97,LDCE 1594,356.70875,-2.14361,6610.0,338.163988706774,1.317604171112396,,,8.783331281355634,,,0,1,0,1
42,97,2MFGC 17840,356.72233,-2.06281,6447.0,431.07824119617044,1.6796303203307106,0.6033333333333334,14.917716967740423,8.793036570468821,9.319055083941521,0.5260185134726996,0,1,0,1
43,97,HDCE 1252,356.68458,-2.07722,6805.0,439.5166823410413,1.7125094133786976,,,8.816573711236876,,,0,1,0,1
44,97,WISEA J234718.75-015943.3,356.82795,-1.99537,6853.0,491.1812815343428,1.9138126084831635,0.4799999999999999,11.86823891356144,8.82869894831751,9.148231421570355,0.3195324732528455,0,1,0,1
45,97,2MFGC 17870,357.33537,-2.27931,7039.0,729.3118159167033,2.8416517511764097,1.0083333333333333,24.93154355105789,8.985324416441824,9.702695587026723,0.7173711705848991,0,1,0,1
